arm,step,entropy,grad_norm,pg_loss,resp_len,reward,score,val_metric
SFT → RL (shaped),1,0.10944846272468567,3.067586660385132,-0.005978250876069069,71.625,0.6390002369880676,0.6390002369880676,
SFT → RL (shaped),2,0.05549143627285957,2.432800769805908,0.006034308695234358,76.09375,0.7144060134887695,0.7144060134887695,
SFT → RL (shaped),3,0.09407569468021393,2.574479579925537,-0.016840526834130287,82.8125,0.8086971640586853,0.8086971640586853,
SFT → RL (shaped),4,0.09078501909971237,4.311506748199463,0.012736407108604908,67.84375,0.8743976950645447,0.8743976950645447,
SFT → RL (shaped),5,0.08170487731695175,4.027344703674316,0.005758791230618954,71.75,0.7303211092948914,0.7303211092948914,
SFT → RL (shaped),6,0.13790594041347504,3.4254820346832275,-0.02181776543147862,62.75,0.6417606472969055,0.6417606472969055,
SFT → RL (shaped),7,0.13624563813209534,2.4853057861328125,-0.005851952359080315,63.8125,0.6694562435150146,0.6694562435150146,
SFT → RL (shaped),8,0.09276548773050308,2.7184860706329346,-0.007158556021749973,75.34375,0.6153213977813721,0.6153213977813721,
SFT → RL (shaped),9,0.1722143441438675,2.8376007080078125,0.02839329745620489,64.1875,0.518718421459198,0.518718421459198,
SFT → RL (shaped),10,0.13532328605651855,4.282314777374268,-0.006594955921173096,68.96875,0.8483859896659851,0.8483859896659851,
SFT → RL (shaped),11,0.10950378328561783,3.278346538543701,0.01727557834237814,63.125,0.44812101125717163,0.44812101125717163,
SFT → RL (shaped),12,0.09531465172767639,4.60846471786499,0.009434935403987765,70.3125,0.8844585418701172,0.8844585418701172,
SFT → RL (shaped),13,0.13593359291553497,3.0404980182647705,-0.0023853713646531105,63.0625,0.7113534212112427,0.7113534212112427,
SFT → RL (shaped),14,0.14451134204864502,3.987607002258301,-0.05727065447717905,71.34375,0.6748207211494446,0.6748207211494446,
SFT → RL (shaped),15,0.0940476804971695,2.210761308670044,-0.0011361688375473022,96.28125,0.5631797909736633,0.5631797909736633,
SFT → RL (shaped),16,0.13525818288326263,4.473936557769775,0.018199477344751358,70.21875,0.8379297256469727,0.8379297256469727,
SFT → RL (shaped),17,0.08516818284988403,1.5255440473556519,0.010934822261333466,92.5625,0.6790788769721985,0.6790788769721985,
