series,label,step,train_loss
distilled,All teacher targets,1,1.657623
distilled,All teacher targets,2,1.587345
distilled,All teacher targets,3,1.576273
distilled,All teacher targets,4,1.342922
distilled,All teacher targets,5,1.180857
distilled,All teacher targets,6,1.060679
distilled,All teacher targets,7,1.022868
distilled,All teacher targets,8,0.956928
distilled,All teacher targets,9,0.896354
distilled,All teacher targets,10,0.871489
distilled,All teacher targets,11,0.795114
distilled,All teacher targets,12,0.845070
distilled,All teacher targets,13,0.823735
distilled,All teacher targets,14,0.815679
distilled,All teacher targets,15,0.763557
distilled,All teacher targets,16,0.752299
distilled,All teacher targets,17,0.716272
distilled,All teacher targets,18,0.718809
distilled,All teacher targets,19,0.712451
distilled,All teacher targets,20,0.740562
distilled,All teacher targets,21,0.683163
distilled,All teacher targets,22,0.711227
distilled,All teacher targets,23,0.728423
distilled,All teacher targets,24,0.680159
distilled,All teacher targets,25,0.651152
distilled,All teacher targets,26,0.650100
distilled,All teacher targets,27,0.665707
distilled,All teacher targets,28,0.634393
distilled,All teacher targets,29,0.639001
distilled,All teacher targets,30,0.665269
distilled,All teacher targets,31,0.629451
distilled,All teacher targets,32,0.691565
distilled,All teacher targets,33,0.613317
distilled,All teacher targets,34,0.651765
distilled,All teacher targets,35,0.642131
distilled,All teacher targets,36,0.545235
distilled,All teacher targets,37,0.482046
distilled,All teacher targets,38,0.495562
distilled,All teacher targets,39,0.504883
distilled,All teacher targets,40,0.513166
distilled,All teacher targets,41,0.510311
distilled,All teacher targets,42,0.500343
distilled,All teacher targets,43,0.523043
distilled,All teacher targets,44,0.507143
distilled,All teacher targets,45,0.506317
distilled,All teacher targets,46,0.492505
distilled,All teacher targets,47,0.504678
distilled,All teacher targets,48,0.467866
distilled,All teacher targets,49,0.477798
distilled,All teacher targets,50,0.463573
distilled,All teacher targets,51,0.490588
distilled,All teacher targets,52,0.471597
distilled,All teacher targets,53,0.490566
distilled,All teacher targets,54,0.492156
distilled,All teacher targets,55,0.512383
distilled,All teacher targets,56,0.464668
distilled,All teacher targets,57,0.475100
distilled,All teacher targets,58,0.458994
distilled,All teacher targets,59,0.484926
distilled,All teacher targets,60,0.502310
distilled,All teacher targets,61,0.457069
distilled,All teacher targets,62,0.450699
distilled,All teacher targets,63,0.491958
distilled,All teacher targets,64,0.458291
distilled,All teacher targets,65,0.445701
distilled,All teacher targets,66,0.416472
distilled,All teacher targets,67,0.467293
distilled,All teacher targets,68,0.411013
distilled,All teacher targets,69,0.463937
distilled,All teacher targets,70,0.423958
distilled,All teacher targets,71,0.341830
distilled,All teacher targets,72,0.321073
distilled,All teacher targets,73,0.322240
distilled,All teacher targets,74,0.309404
distilled,All teacher targets,75,0.324223
distilled,All teacher targets,76,0.280159
distilled,All teacher targets,77,0.339057
distilled,All teacher targets,78,0.310433
distilled,All teacher targets,79,0.301954
